Menu.name,Menu.image,Menu.categories,Menu.description,Menu.price,Menu.new,Menu.recommend,Menu.openSpot
BBQ Potato Salad,image/salad3.jpg,salad,"The good old potato salad with a twist! This one has a cola flavored BBQ sauce as a dressing ingredient. Yes, you're right! A splash of your favorite soft drink is the highlight of the dressing sauce.",10.75,TRUE,FALSE,TRUE
Thai Soyabean In Cabbage Cups,image/salad4.jpg,salad,"If your watching your weight, this low fat salad recipe is your perfect companion! A mash up of soy granules and oriental flavours, served in cabbage cups.",10.75,TRUE,FALSE,TRUE
Asian Sesame Chicken,image/salad5.jpg,salad,"A healthy soul's delight! Make yourself a simple, speedy and satisfying meal by creating a salad of chicken strips, greens, almonds, sesame seeds and asparagus. Dress it up with some soya sauce, vinegar and chilly oil.",10.5,TRUE,FALSE,TRUE
"Cucumber, Black Olive and Mint Salad",image/salad6.jpg,salad,"A chunky salad of cucumbers, cherry tomatoes, peppery mint leaves drizzled with a black olive sauce.",9.5,TRUE,FALSE,TRUE
Caesar Salad,image/salad7.jpg,salad,This classic Caesar salad is not just easy to make but the perfect mix of cream and crunch.,9.75,TRUE,FALSE,TRUE
Tomato Olive Salad ,image/salad8.jpg,salad,Fresh crunchiness and juiciness of tomatoes and taste of olives is enough to make you drool over this amazing salad recipe.,9.75,TRUE,FALSE,TRUE
Cedar-Plank Salmon,image/main-dish1.jpg,main-dish,"A big salmon fillet always feels like a festive main course, especially when it's cooked on a cedar grilling plank, so it picks up a whisper of smoky flavor.",15.99,TRUE,FALSE,TRUE
Braised Chicken Legs With Grapes and Fennel,image/main-dish2.jpg,main-dish,"There's nothing wrong with defaulting to chicken when you're trying to think of dinner party ideas. The key is to select a truly special chicken recipe, like this easy sweet-and-spicy braise, made with ribbons of fennel and juicy table grapes. You'll want to have a loaf of bread on the side for sopping up the sauce.",14.99,TRUE,FALSE,TRUE
Seared Scallops With Brown Butter and Lemon Pan Sauce,image/main-dish3.jpg,main-dish,"Scallops are always a stunner, but these are dead simple to make: Juice lemons. Spoon out capers. Heat pan. Cook scallops. Make sauce in same pan. Serve.",21.99,TRUE,FALSE,TRUE
Grilled Pork Spareribs With Soda Bottle Barbecue Sauce,image/main-dish4.jpg,main-dish,"Barbecue brisket is a whole ordeal, but you can get rich, meaty flavor faster if you focus on tender pork spareribs. These have two sauce options, made with your choice of Coca-Cola or ginger ale.",17.99,TRUE,FALSE,TRUE
Marinated Chicken Breasts With Grilled Pineapple Relish,image/main-dish5.jpg,main-dish,"Chicken breasts don't have to be boring. Gather friends around the grill for this extra-flavorful meal, enhanced with grilled pineapple. Marinate the chicken in advance and you have one of those perfectly summery, easy dinners that's sure to impress.",13.99,TRUE,FALSE,TRUE
Tamarind-Glazed Black Bass With Coconut-Herb Salad,image/main-dish6.jpg,main-dish,"Dinner recipes don't always feel like a celebration, but this one does. Two whole fish are brushed with a tamarind and honey glaze, then roasted for just about 20 minutes. It's easier than roast chicken, and the presentation is truly fabulous.",17.99,TRUE,FALSE,TRUE
Stuffed Eggplants and Zucchini in a Rich Tomato Sauce ,image/main-dish7.jpg,main-dish,"In this recipe, summer produce gets stuffed with spiced ground lamb and cooked in an oniony tomato sauce. Top it off with crispy garlic, herbs, and yogurt.",10.99,TRUE,FALSE,TRUE
Instant Pot Lamb Haleem,image/main-dish8.jpg,main-dish,"Pakistani haleem is a warmly spiced, satisfyingly thick stew made from long-simmered lentils, barley, and bone-in chunks of lamb or goat. This version is designed for the Instant Pot, which cuts out hours of simmering and stirring.",15.99,TRUE,FALSE,TRUE
Mango lassi,image/drink1.jpg,drink,"Mango, yogurt and milk combine in creamy harmony making those sweltering afternoons almost something to look forward to.",7.5,TRUE,FALSE,TRUE
Pina colada,image/drink2.jpg,drink,"Just looking at the drink brings you closer to a beach and sipping this mixture of coconut milk, pineapple juice and rum",5.5,TRUE,FALSE,TRUE
Coconut water,image/drink3.jpg,drink,"You can eat its flesh raw or flaked and cook with its oil, but the best way to ingest the star of so many tropical scenes is to stick a straw inside and drink.",5.5,TRUE,FALSE,TRUE
Champagne,image/drink4.jpg,drink,"Champagne is the diamond of the drink world, taking its place on the podium as the beverage to have when celebrating pretty much anything.",100,TRUE,FALSE,TRUE
Chocolate Milkshake,image/drink5.jpg,drink,The amount of energy spent trying to slurp this thick sludge up the straw must burn off at least a few of those calories.,6,TRUE,FALSE,TRUE
Lemonade,image/drink6.jpg,drink,"This summer refresher, first documented in Egyptian writings around 1,500 years ago, turns kids into happy angels and adults into happy kids. If you can ignore the five spoons of sugar in your glass, it can even be considered healthy: it's been said to aid digestion, relieve heartburn and control diarrhea and constipation.",5.5,TRUE,FALSE,TRUE
Coca-Cola,image/drink7.jpg,drink,"The drink has gone through various manifestations, including Diet, Cherry, Lemon and Zero, but it's the original, with a brain-freezing, nasal-passage-penetrating kick that keeps 'em coming back for more.",5.5,TRUE,FALSE,TRUE
Water,image/drink8.jpg,drink,"The mere addition of bubbles transforms plain old H2O into a stylish 'beverage', conferring upon you instant elan.",5,TRUE,FALSE,TRUE
Chocolate-Mint Bars,image/des1.jpg,dessert,"For a more grown-up taste, you can substitute dark chocolate chips for some or all of the semisweet chocolate chips in the glaze.",7.5,TRUE,FALSE,TRUE
Lemon-Scented Blueberry Cupcakes,image/des2.jpg,dessert,"Studded with plump, juicy fresh berries, these cupcakes are fun for birthdays and special occasions.",6.99,TRUE,FALSE,TRUE
Bourbon-Pecan Tart with Chocolate Drizzle,image/des3.jpg,dessert,"Pecan pie is often purely sweet with no undertones, but the bourbon, molasses, and chocolate in this beautiful centerpiece dessert all add complexity of flavor.",11,TRUE,FALSE,TRUE
Raspberry-Rhubarb Pie,image/des4.jpg,dessert,"Sweet raspberries do that job perfectly here, while a splash of crème de cassis adds even deeper berry flavor.",12,TRUE,FALSE,TRUE
Classic Fudge-Walnut Brownies,image/des5.jpg,dessert,"Large chocolate chunks create big, luxurious pockets of melty chocolate in the brownies, but you can always substitute chocolate chips.",6.5,TRUE,FALSE,TRUE
Nathan’s Lemon Cake,image/des6.jpg,dessert,"Wonderful texture, assertive lemon flavor, just enough richness and just enough icing.",20,TRUE,FALSE,TRUE
Blueberry-Peach Cobbler,image/des7.jpg,dessert,Like a blueberry muffin canoodling with fresh peaches,15,TRUE,FALSE,TRUE
Roasted Banana Bars with Browned Butter–Pecan Frosting,image/des8.jpg,dessert,"The bananas flavor the light-and-fluffy bars, which are topped with cream cheese icing and chopped pecans for the perfect amount of tanginess and crunch.",7.5,TRUE,FALSE,TRUE
